第,h
耕地,v
面积,n
播种,v
下降,v
负,v
１５,m
如果说,i
７０,m
动因,n
濒于,v
的话,u
改革开放,i
深远,a
在于,v
相继,d
来临,v
之前,nt
或者说,c
起飞,v
严格,a
限定,v
讲,v
１９９０,m
２０２０,m
继续,v
不犯,v
类似,v
大跃进,n
导致,v
波动,v
不再,d
重演,v
文革,j
政治,n
有效,a
数量,n
特大,a
全局性,n
自然灾害,n
爆发,v
大规模,n
他国,n
对抗,v
其次,r
工业化,v
加速,v
再次,d
结构,n
全方位,n
变革,v
事实上,nl
众多,a
缓慢,a
始于,v
类型,n
遗产,n
基础,n
初始,nt
外部,nd
等等,u
程度,n
影响,v
一般,a
言,v
起点,n
越,d
限制,v
因素,n
负担,v
花费,v
反之,c
渐变,v
积累,v
进而,c
质变,n
期望,n
短期,nt
奇迹,n
群众运动,n
频繁,a
生产关系,n
变动,v
腾飞,v
晚,a
加入,v
进程,n
遇到,v
巨国,ns
总数,n
大大,d
总和,n
占有量,n
几十,m
打开,v
对外开放,v
国门,n
迟,v
１００,m
左右,n
市场,n
瓜分,v
完毕,v
资本主义,n
长波,n
波,n
刺激,v
经济起飞,v
极,d
社会主义制度,n
可能,vu
蹈,v
原始,a
资本,n
物质,n
财富,n
道路,n
核心,nl
低度,n
消耗,v
生产,v
消费,v
生活,n
强调,v
绝不,d
并非,d
出于,v
自愿,v
既定,a
总量,n
子孙后代,i
赖以,v
自然,a
代价,n
千秋万代,i
计议,v
必要,a
恳切,a
科学家,n
学者,n
良知,n
责任,n
敦促,v
责,n
旁,nd
货,n
既,c
告,v
民,n
实情,n
晓,v
喻,v
大义,n
全体,n
共和国,n
公民,n
产生,v
有意识,v
自强不息,i
百折不挠,i
意识,n
相,d
融合,v
奉献,v
托起,v
光,n
除此之外,i
若干,m
有利,a
称,v
潜在,a
奠定,v
凝聚力,n
必不可少,i
前提,n
人民政府,n
动员,v
各种,r
特定,a
目标,n
工业体系,n
国民经济,n
上万,m
固定,v
资金,n
后进,a
制定,v
方面,n
发,v
总之,c
不幸,a
孕育,v
难得,a
经历,v
艰难,a
耐人寻味,i
痞子,n
流行,v
回归,v
呼唤,v
意外,a
稳,a
进前,v
开场,v
沉闷,a
顺手,a
阵地战,n
漏洞,n
孟,a
优胜,v
金百炼,nh
内线,n
偷袭,v
强打,v
连连,d
得手,v
仲裁委员会,ni
竞委会,ni
多方,n
收集,v
反映,v
意见,n
违背,v
体育,n
道德,n
公正,a
拼搏,v
原则,n
不符,v
严肃,a
刻不容缓,i
休息,v
袁伟民,nh
徐寅生,nh
寻常,a
举动,n
召集,v
商议,v
此外,c
偏,v
平衡木,n
高低杠,n
十分,d
锦标赛,n
脚部,n
佳绩,n
银牌,n
争得,v
荣誉,n
阵容,n
形势,n
临场,v
先,d
人意,n
单调,a
体力,n
攻防,v
转换,v
节奏,n
保持,v
参差不齐,i
最为,d
球运,n
原因,n
全,a
天桥,n
传统,n
民俗,n
风味,n
蜚声,v
国内外,j
三教九流,i
云集,v
车马,n
人声,n
闹市,n
充满,v
传奇,n
色彩,n
该园,n
经营,v
承担,v
分期,v
设计,v
施工,v
侧面,nd
２２,m
球星,n
希福,nh
约,d
起脚,v
冷,a
猝不及防,i
飞进,v
随后,d
不久,nt
险些,d
上佳,a
精彩,a
场面,n
只因,p
操之过急,i
建树,v
陌生,a
１９８６,m
墨西哥,ns
大赛,n
战将,n
留下,v
印象,n
脚下,nl
功夫,n
浅,a
完人,n
并不是,v
挑剔,v
忍受,v
转会,v
遭到,v
拒绝,v
凭着,p
不凡,a
球技,n
作出,v
夏令,n
１７,m
２３,m
４５,m
北非,ns
雄狮,n
杰.查尔顿,nh
苦斗,v
高下,n
进球数,n
持平,a
和局,n
埃,j
好处,n
荷,j
旅,n
均,d
劣势,n
久攻,v
急躁,a
埃军,ns
哈桑,nh
前锋,n
１８,m
奥拉比,nh
撞,v
血,n
满面,n
先后,d
麦克劳克林,nh
奎因,nh
换下,v
不力,a
意图,n
英国,ns
大臣,n
蒙尼汉,nh
接受,v
暂时,nt
不应,vu
解除,v
禁令,n
暴力,n
促使,v
不会,vu
不准,v
外出,v
李会泽,nh
不少,a
东西,n
不错,a
扬,v
不行,v
农家,n
感情,n
生,v
俱,d
３８,m
人生,n
旅程,n
不清,a
来自,v
何时,r
倒是,d
太行山,ns
盘山,v
家乡,n
土丘,n
荷塘,n
令,v
激动不已,i
发现,v
才是,vl
根,n
既然,c
心目中,nl
美,a
为何,d
呢,u
不负,v
有心人,n
１９８９,m
丰收,v
杯,n
大奖赛,n
佳作,n
优秀奖,n
损害,v
肉眼,n
不到,v
却是,vl
千真万确,i
事,n
幸运,a
须要,vu
向来,d
运气,n
故此,c
勒令,v
不许,v
剃掉,v
须,n
电视台,n
报道,v
市民,n
赌球,v
输掉,v
所有,a
金钱,n
消息,n
设有,v
电视机,n
酒吧,n
挤,v
水泄不通,i
部队,n
存在,v
任何,r
区域,n
应该,vu
海洋,n
越来越,d
认识,v
霸权,n
动荡不安,i
祸根,n
不论,c
赤膊上阵,i
决不,d
容许,v
势力范围,n
尊重,v
不能不,d
全世界,n
接着,v
通向,v
口,n
中东,ns
海湾,ns
以至,c
兴风作浪,i
恣意,d
践踏,v
思想上,nl
缓和,a
裁军,v
滥调,n
迷惑,v
鼓舞,v
毫不,d
松懈,a
六百,m
相当,d
七十五,m
这些年,nt
满足,a
久已,d
立下,v
九天,n
揽月,v
雄心壮志,i
高低不平,i
大小,n
不等,a
五千,m
地块,n
改造,v
大块,n
机耕,v
灌溉,v
作用,n
留恋,v
不禁,d
或者,c
到了,v
世纪末,nt
时候,n
样子,n
也许,d
有人,r
责难,v
多年,nt
为什么,r
赞美,v
将近,v
等于,v
更甚,d
走访,v
中国科学院,ni
研究,v
中科院,j
诚实,a
态度,n
抱,v
偏见,n
幻想,v
处在,v
保证,v
当代人,n
过多,a
自然资源,n
绝对,a
量,n
居,v
前列,nl
居于,v
后列,v
国内,nl
类,n
降至,v
历史上,n
最低点,n
局部,n
多数,n
城市,n
供水,v
水资源,n
初期,nt
全国性,n
现状,n
先天不足,i
后天,nt
失调,v
人为,a
退化,v
污染,v
兼而有之,i
改善,v
恶化,v
治理,v
远远,a
赶不上,v
速度,n
水土流失,v
用材林,n
减少,v
沙漠化,v
扩展,v
陆地,n
湖泊,n
缩小,v
环境污染,v
发达国家,n
巨额,n
吝啬,a
大自然,n
难题,n
可能性,n
不大,a
增加,v
城市化,v
既是,c
包括,v
停滞,v
待,v
毙,v
出路,n
持,v
速,a
观点,n
心理,n
持久战,n
纵观,v
大体,n
欧美,j
俄国,ns
再生,v
生活资料,n
高消费,v
高速,a
４００,m
１９８４,m
３９６,m
膳食,n
植物,n
型,n
食品,n
动物,n
动植物,j
并重,v
能源,n
１０００,m
标准煤,n
７６５,m
自行车,n
公共,a
交通,n
居民,n
运输,v
普及,v
家庭,n
小汽车,n
城镇,n
居住面积,n
平方米,q
乡村,n
公园,n
娱乐场所,n
设施,n
用电量,n
度,n
提倡,v
私人,n
别墅,n
花园,n
空调,n
顽主,n
人物,n
银幕,n
书摊,n
熙熙攘攘,i
人流,n
无为,v
玩世不恭,i
追求,v
羡慕,v
时尚,n
没意思,i
小姐,n
先生,n
仅仅是,v
时髦,a
怀旧,v
情绪,n
都市,n
底层,n
聚集,v
群,n
倒,v
儿,n
爷,n
个体户,n
暗娼,n
流民,n
不舍,v
昼夜,nt
奔波,v
流通领域,n
赚钱,v
捞钱,v
旋转,v
找,v
灵魂,n
归宿,n
家园,n
失落,v
弥漫,v
年轻,a
心灵,n
健全,a
主宰,v
发达,a
不管,c
东方,nd
绝,d
更为,d
需求,n
不久前,nt
电视剧,n
铁人,n
播出,v
老人,n
年轻人,n
高声,n
有救,v
低估,v
宣传,v
商榷,v
常,d
英雄人物,n
圣,n
化,v
神化,v
要么,c
先知先觉,n
无情,a
无欲,v
食,v
人间烟火,n
透,a
荒诞,a
朋友,n
楷模,n
反而,d
崇拜,v
偶,a
迈过,v
而立,n
宁静,a
临近,v
不惑,v
觉得,v
活,v
累,v
莫过于,v
人际,nl
交往,v
相处,v
真情,n
稀少,a
结识,v
辛,nhf
悲观,a
市侩,n
不可救药,i
漫不经心,i
相差,v
家,n
相距,v
四十,m
采买,v
同在,v
经常,d
孩子,n
玩耍,v
每当,p
姐姐,n
似的,u
大讲,v
经,n
伦,n
医生,n
假,n
不安,a
痛苦,a
怨,v
太,d
笨,a
不快,a
逐步,d
走向,v
如同,v
空气,n
阳光,n
彼此,r
转业,v
不一定,d
企业,n
岗位,n
天然气,n
河西片各冶金企业,ni
停产,v
抢回,v
缝,v
轧,v
特钢,j
职工,n
放弃,v
公休,n
班,n
产品,n
滞销,v
全局,n
短线,n
比重,n
大幅度,n
合金,n
材,n
优质,n
板,n
紧俏,a
镀锌,v
钢丝,n
钢丝绳,n
同期,nt
６０,m
９４,m
伞,n
铁丝,n
黄铜,n
丝,n
声誉,n
打入,v
首季,nt
出口创汇额,n
１７０,m
美元,n
２９,m
７７,m
机制,n
薄纸,n
缝纫机,n
保温瓶,n
铝制品,n
搪瓷,n
制品,n
洗衣粉,n
胶鞋,n
毛线,n
品种,n
收购量,n
张立昌,nh
察看,v
郊区,n
天穆镇兔毛纱厂,ni
宜兴埠镇静电喷涂厂,ni
双街钢管厂,ni
宜兴埠蔬菜园,ni
环线,n
绿化带,n
王秦庄,ns
果园,n
青光村养鸡厂,ni
菜地,n
菜农,n
询问,v
蔬菜,n
季节,nt
上市,v
征询,v
市政府,ni
义不容辞,i
均衡,a
淡季,nt
子力,n
抢劫,v
案件,n
例,n
发案,v
始终,d
居高不下,i
党史,n
有关,p
大力,n
协作,v
一九八○,m
行业,n
效果,n
调整,v
搞活,v
平衡,a
计划,n
加工,v
社办,v
盲目,a
厂,n
老厂,n
状况,n
适合,v
积压,v
各级,n
银行,n
专业,n
信贷,n
规定,v
贷款,v
指标,n
会议,n
流动资金,n
管理,v
督促,v
压缩,v
物资,n
库存,n
商品,n
占用,v
此刻,nt
关心,v
母腹,n
躁动,v
生命,n
家人,n
幢,q
办公楼,n
阳台,n
晒,v
足够,a
太阳,n
拨,v
钱,n
新建,v
许,v
工厂,n
左倾,a
欠,v
账,n
近年来,nt
用于,v
马上,d
究竟,d
怎么办,v
凡是,d
力所能及,i
就要,vu
拖到,v
明天,nt
全厂,n
皆大欢喜,i
家长,n
包袱,n
放,v
不轻,a
实际,a
回避,v
细,a
引导,v
少数,n
祖国,n
母亲,n
穷,a
子女,n
分忧,v
加,v
愁,v
千千万万,i
嘉丰棉纺织厂,ni
眼睛,n
向上,v
坐等,v
那末,r
步伐,n
加快,v
好做,a
凭,p
直觉,n
判断,v
只要,vu
一下,mq
排列,v
表,n
知道,v
工区,n
国外,nl
工艺,n
仪器,n
仪表,n
气动,v
工具,n
适于,v
电子,n
流水,n
组织上,nl
发觉,v
错误,n
教育,v
留,v
纪,n
处分,n
受,v
期间,nt
劣,a
性,n
改,v
屡教,v
屡犯,v
骗取,v
钱财,n
连载,v
小说,n
检察官,n
刊登,v
追扇,n
唐伯虎,nh
精心,a
绘画,n
传世,v
扇,n
前夕,nt
被盗,v
漫长,a
盗,v
临终,v
嘱咐,v
儿子,n
归还,v
资本家,n
帮办,v
伎俩,n
把好,v
进货,v
合格,a
上柜,v
核,n
价,n
确保,v
物,n
相符,v
价格,n
包装,v
足,a
斤两,n
完好,a
指定,v
复核,v
制度,n
设立,v
专职,n
检验员,n
对进,v
验收,v
凡,d
质量,n
符合,v
立即,d
退,v
以次充好,i
卖给,v
顾客,n
销售,v
蛋糕,n
不怕,v
麻烦,a
有一次,v
外形,n
验,v
拣,v
二百,m
份量,n
退回,v
生产厂,n
改进,v
消费者,n
利益,n
更是,vl
把关,v
碎,a
一律,d
削价,v
出售,v
吃亏,v
季度,nt
外地,nl
采购,v
木制,v
照相,v
座机,n
营业员,n
参照,v
九百七十八,m
菜田,n
干旱,a
严霜,n
侵袭,v
青菜,n
冬塘菜,n
抑制,v
月份,nt
供应量,n
推迟,v
大型,a
水利,n
工程,n
确定,v
重点,n
急需,v
续建,v
配套,v
加固,v
小型,a
农田水利,n
据悉,v
愿意,vu
禁飞,v
武力,n
波斯尼亚,ns
联合国维持和平部队,n
报复,v
最新,a
斯,r
明镜,n
周刊,n
奔驰,v
亏损,v
该,r
戴姆勒,nh
康采恩,n
财政,n
利纳尔,nh
车,n
进口,v
国,n
不景气,a
货币,n
金融市场,n
位于,v
摩加迪沙,ns
以西,nd
２５０,m
拜多阿,ns
邻近,v
加上,v
致使,v
大批,q
死亡,v
多国部队,n
巡逻队,n
不明,a
身份,n
分子,n
交火,v
击中,v
近日,nt
任命,v
曾建徽,nh
新闻,n
朱穆之,nh
至此,v
舟山,ns
港,n
清洗,v
１２,m
艘,q
国籍,n
巨型,n
油轮,n
崛起,v
舱,n
营运,v
修理,v
换装,v
船舱,n
称作,v
国境,n
创汇,n
产业,n
日前,nt
不大不小,i
不置,v
闻,v
渎职,v
享乐,v
主义,n
自私自利,i
浪费,v
外汇,n
好在,d
德国,ns
爱国,v
卖国,v
话说,v
施,nhf
大爷,n
本该,v
夺取,v
且,c
不说,v
人品,n
高尚,a
学会,v
板凳,n
吗,u
至少,d
渴望,v
阮崇武,nh
体育界,n
学习,v
观摩,v
各方面,n
检验,v
政协,j
检查,v
党外,nl
人士,n
是不是,v
文件,n
事项,n
传达,v
听得,v
拨乱反正,i
致力,v
转折,v
关头,n
邓小平,nh
无产阶级,n
革命家,n
胆略,n
远见卓识,i
不可磨灭,i
功勋,n
光辉,a
意义,n
全国政协,j
新时期,n
统一战线,n
人民政协,j
理论上,nl
精辟,a
论述,n
篇,q
历史性,n
文献,n
开幕词,n
沿着,p
正确,a
轨道,n
前进,v
应当,vu
加深,v
理解,v
布置,v
橱窗,n
上去,v
商业,n
收购,v
区别,v
储备,n
零售,v
生意,n
做足,v
做好,v
克服,v
留一手,v
想方设法,i
开拓,v
门路,n
多种,mq
回笼,v
国庆,nt
节日,nt
高于,v
大多数,n
主,a
副食品,n
投放,v
日用,a
工业品,n
五点四,m
关键,n
满意,v
工业生产,v
总值,n
二点六,m
经济效益,n
建议,n
行政,n
机构,n
指令,n
约旦,ns
外长,j
贾比尔,nh
除非,c
以色列,ns
原则上,n
同意,v
占,v
领土,n
国王,n
候赛因,nh
考虑,v
耶路撒冷,ns
报纸,n
阿拉伯,ns
校方,n
军方,n
校内,nl
学生,n
送,v
教师,n
离校,v
司令,n
抬杠,v
黑海,ns
卡萨托诺夫,nh
违反,v
军人,n
宣誓,v
效忠,v
条款,n
不适,a
宪法,n
石油,n
开采,v
业,k
拥有,v
股份,n
权,n
想象,v
讨价还价,i
邓颖超,nh
生前,nt
写给,v
信,n
品质,n
写照,n
留给,v
连日来,nt
各界,n
含,v
悲痛,a
遗嘱,n
缅怀,v
业绩,n
继承,v
遗志,n
大姐,n
中纪委,j
重视,v
党风,n
党纪,n
孜孜不倦,i
致力于,v
规,n
法,n
纪律,n
坚定不移,i
纠正,v
以权谋私,i
党内,nl
优良,a
严明,v
弘扬,v
倡导者,n
身体力行,i
严守,v
端正,v
永生,v
忘,v
他人,r
为重,v
逝世,v
骨灰,n
了不起,a
刘荣达,nh
廉洁奉公,i
一心,d
交出,v
住房,n
照顾,v
亲属,n
云南,ns
女队,n
湖南,ns
决,v
跳远,n
李惠荣,nh
陈兆静,nh
三级跳,n
选手,n
李梦春,nh
长跑,n
新秀,n
高宝贤,nh
强将,n
争,v
声望,n
教头,n
显露,v
老谋深算,i
用兵,v
维罗纳,nh
南美,ns
杀戒,n
扣人心弦,i
能否,d
顺利,a
悦目,a
聪明,a
凭借,v
精湛,a
传,v
穆罕默德.古哈里,nh
调兵遣将,i
爱军,ns
到底,d
警方,n
返,v
欧,j
无限期,v
排除,v
赛事,n
之外,nd
与此同时,i
实测,v
天大建筑系,ni
文物,n
密切,a
测绘,v
各项,r
钱其,nh
璈,x
市长,n
参与,v
规律,n
办事,v
发言人,n
喇叭,n
声音,n
内含,v
化学,n
成份,n
防,v
臭,a
剂,n
有害,v
臭氧层,n
捷克,ns
斯洛伐克,ns
复赛,n
最佳,a
礼物,n
妻子,n
会面,v
捷,j
文洛斯,nh
遵守,v
诺言,n
飞,v
赴,v
战后,nt
团聚,v
完,v
冒,v
着雨,v
回家,v
野心,n
渗透,v
恳谈,v
挑战,v
并存,v
开诚布公,i
告诉,v
无条件,v
台湾,ns
澳门,ns
同胞,n
供给,v
临界点,n
举步维艰,i
大约,d
１５０,m
谈,v
长期性,n
艰巨性,n
动力,n
进步,a
矛盾,n
僵局,n
所在,n
对话,v
透过,v
看准,v
善良,a
真诚,a
局,n
鼓,v
劳动,v
算,v
细账,n
挖,v
潜力,n
激发,v
广大,a
信心,n
运转,v
下达,v
强化,v
队伍,n
货款,n
回收,v
局内,nl
工序,n
拖欠,v
局面,n
缓解,v
月底,nt
月初,nt
额,n
３０００,m
截至,v
供应站,n
形式,n
内外,nd
批发,v
联营,v
１２８,m
宣布,v
蒙古,ns
当地,n
出租,v
转发,v
器,n
看起来,v
无关,v
索,j
也门,ns
阿塔斯,nh
亚丁机场,ns
运送,v
救援,v
据,p
目击者,n
失事,v
降落,v
一阵,mq
大风,n
左翼,n
地面,n
相撞,v
然后,c
起火,v
爆炸,v
赶到,v
视察,v
葡萄牙,ns
部长,n
事故,n
尚未,d
查明,v
机场,n
气候,n
岛,n
舆论,n
此次,r
选举,v
国民党,ni
民进,j
立法院,n
席次,n
对比,v
激化,v
紧张,a
政局,n
本地,n
深水,n
华光,nh
航运,v
集团公司,n
底,n
马峙锚地,ns
外轮,n
铝合金,n
媲美,v
仿,v
铝,n
型材,n
推拉,v
钢,n
门窗,n
江苏太仓县新型建筑门窗厂,ni
批量,n
失利,v
离去,v
朝鲜,ns
艺术家,n
见面,v
朝鲜文化艺术部,ni
许白山,nh
团长,n
电影,n
代表团,n
十三,m
大光明电影院,ni
朝鲜民主主义人民共和国,ns
电影周,n
增添,v
光彩,n
明石康,nh
联合国,ni
驻,v
柬,j
临时,a
权力,n
短,a
立场,n
重建,v
叙利亚,ns
拉宾,nh
谈判,n
俄罗斯,ns
鲁茨科伊,nh
摩尔多瓦,ns
德涅斯特河,ns
沿岸,n
集团军,n
格鲁吉亚,ns
方案,n
制止,v
东部,nd
境内,nl
南奥塞梯,ns
北奥塞梯,ns
合并,v
酿成,v
占地,v
平方公里,q
梅墟,ns
工业区,n
鄞县环天电器厂,ni
菲律宾,ns
外商,n
领到,v
批准书,n
南京空军福州医院,ni
研制,v
胸腺,n
因子,n
注射液,n
日内瓦,ns
发明,v
展览会,n
银奖,n
文明,a
班级,n
评比,v
开展,v
公益,n
结合,v
纺织品,n
衣,n
片,n
确证,n
人民群众,n
欢迎,v
特色,n
心理学,n
方兴未艾,i
工作者,n
中青年,n
率先,d
政法,j
针对,p
犯罪,v
讲座,n
讲解,v
个性,n
司法,v
探索,v
专题,n
听讲,v
纷至沓来,i
人次,q
五万,m
资料,n
索要,v
一空,v
干警,j
运用,v
罪犯,n
学员,n
知识,n
揭穿,v
胡编乱造,i
情节,n
汉字,n
信息处理,v
常设,v
转让,v
招标,v
攻关,v
咨询,v
承包,v
培训,v
引进,v
消化,v
吸收,v
经销,v
广告,n
钢琴,n
家里,nl
登·艾斯基伦德,nh
音乐会,n
名曲,n
道教,n
上海音乐学院,ni
拍,v
苏州,ns
卷,n
武当山,ns
青城山,ns
集,n
录相,n
鉴于,v
口号,n
旅游,v
本次,r
秘书处,n
题词,v
译文,n
散发,v
与会,v
成员国,n
旅游界,n
虚心,a
博采,v
拟定,v
广场,n
西侧,nd
人民大会堂,n
博物馆,n
房顶,nl
建造,v
毛主席纪念堂,n
四周,nl
修建,v
造型,v
别致,a
棚,n
驱逐,v
英国人,n
莫斯科,ns
每日电讯报,ni
只是,d
几个,mq
行李,n
解开,v
召见,v
代办,v
明确,a
戈尔季耶夫斯基,nh
辩驳,v
事实,n
证明,v
情报,n
关联,v
行为,n
毫无,v
根据地,n
危害,v
无辜,v
观察家,n
谨慎,a
一八一○,m
巴伐利亚,nh
王子,n
萨克森──希特堡,ns
豪森,n
公主,n
苔拉茜,nh
结婚,v
马车夫,n
宫廷,n
婚礼,n
赛马,v
少校,n
王室,n
纪念,v
赛马场,n
名字,n
命名,v
苔拉茜草场,ns
本来,d
啤酒,n
十月,nt
节,n
欢庆,v
周年,nt
喝,v
理所当然,i
象征,n
美酒,n
芳香,a
因而,c
啤酒节,n
中午,nt
十二,m
礼炮,n
轰鸣,v
按照,p
慕尼黑,ns
木槌,n
桶,n
龙头,n
斟满,v
可口,a
献给,v
巴伐利亚州,ns
举起,v
盛会,n
游客,n
畅饮,v
揭开,v
序幕,n
来信,v
来访,v
姑娘,n
户口,n
迁出,v
女方,n
注销,v
收回,v
自留地,n
承包田,n
家务,n
家访,v
家属,n
减轻,v
承认,v
辩证,a
相对主义,i
划清界限,i
真理,n
满怀信心,i
批判,v
形而上学,i
绝对主义,i
永不,d
创新,v
原子,n
自动,a
朴素,a
叫做,v
虚空,a
非,d
真实,a
断定,v
总的说来,c
德谟克利特,nh
原子论,n
自发,d
转化,v
辩证法,n
宇宙观,n
化纤,n
布,n
供求,n
棉布,n
敞开,v
创造,v
纯,a
销售额,n
二点二,m
费用,n
一点九,m
利润,n
总额,n
二十一点四,m
周转,v
一点六五,m
肉,n
禽,n
水产,n
粮油,n
饲料,n
果品,n
杂货,n
大类,n
九月,nt
安装,v
工作量,n
六十八,m
塘新公路,ns
东,nd
松江,ns
黄浦江米市渡,ns
对岸,n
塘口车站,ns
浦南,ns
浦北,ns
公路,n
中转站,n
泖港,ns
新五公社,ns
西,nd
新浜公社,ns
塘新线,ns
通车,v
沟通,v
金山,ns
奉贤,ns
县,n
联系,n
安徽贵池五三三七厂,ni
青工,n
徐荣富,nh
路上,nl
谈论,v
斗,v
蟋蟀,n
公交,j
曹永慈,nh
蛮,d
狠,a
徐,nhf
拿来,v
口角,v
抓住,v
曹,nhf
吴增谦,nh
本人,n
编辑部,n
写信,v
吸取,v
教训,n
民主生活会,n
批评与自我批评,v
增强,v
党性,n
淮海,ns
新世界文化用品商店,ni
纸品五厂,ni
联合,v
展销,v
照相簿,n
集邮,v
册,n
六十,m
罗枚华,nh
调查,v
广泛,a
听取,v
科,n
起用,v
缺点,n
当时,nt
指挥员,n
一声令下,i
华光啤酒厂,ni
麦芽,n
车间,n
钟内,nl
倒伏,v
变成,v
废墟,n
原来,d
体,n
相连,v
安然无恙,i
北面,nd
０．５,m
深井,n
水泵,n
水管,n
完好无损,i
老工人,n
趁,p
顶替,v
之际,nd
迁入,v
闸北,ns
人民法院,n
开庭,v
判决,n
判决书,n
被告,n
老太,n
形成,v
母子,n
公,a
管,v
承租,v
屋,n
居住,v
使用权,n
雷暴,n
龙卷风,n
厄尔尼诺现象,n
来看,v
地球,n
北部,nd
寒潮,n
暴风雪,n
袭击,v
西伯利亚,ns
气温,n
降到,v
束家鑫,nh
耀斑,n
老师,n
不声不响,i
掏出,v
身上,nl
零钱,n
共,d
６,m
请,v
笔,n
转交,v
受灾,v
乡亲,n
保险,n
保险公司,n
来人,v
建材,j
生产资料,n
灾区,n
冒出,v
吃不准,i
摸,v
树,v
帜,n
其二,r
与其,c
汤,n
止,v
沸,v
干脆,d
釜底抽薪,i
文,n
敬请,v
作者,n
读者,n
指教,v
推到,v
自身,n
命运,n
关口,n
理由,n
美好,a
丑恶,a
进化,v
倒退,v
沉沦,v
抉择,v
寻求,v
谈到,v
这里,r
不得不,d
扯到,v
爱情,n
婚姻,n
低级,a
庸俗,a
描写,v
混为一谈,i
不要,vu
自觉,a
不自觉,a
旧,a
马克思主义,n
学说,n
视为,v
异端,n
中华人民共和国,ns
龚澎,nh
外交部新闻司,ni
助理,n
各种各样,i
外国人,n
尹生辉,nh
预备,v
婉转,a
批评,v
顿,q
客堂,n
嗵,o
声,n
白洁如,nh
一惊,v
连忙,d
放下,v
手,n
一霎间,nt
端庄,a
文雅,a
高贵,a
刚才,d
判若两人,i
曾庆红,nh
资产阶级,n
自由化,v
交流,v
稳妥,a
针对性,n
分清,v
精华,n
糟粕,n
勤俭节约,i
有机,a
区属,v
集体,n
家住,v
吴淞,ns
闵行,ns
求,v
调往,v
住地,n
广,a
开绿灯,i
调入,v
所有制,n
不变,v
敌对,a
隔绝,v
各自,r
外界,n
有着,v
截然不同,i
与众不同,i
公报,n
吧,u
主动,a
方便,a
显著,a
省,n
各地,nl
侨务,n
放手,v
侨办,j
政,n
扶助,v
壮大,v
育苗,v
攻,v
关卡,n
触到,v
红心,n
跳荡,v
征服,v
黑暗,a
驱除,v
邪恶,a
火炬,n
手中,nl
吨,q
纸,n
耗,v
标,n
煤,n
十二点九,m
耗电,v
四点五,m
成本,n
五点五,m
上缴,v
三万,m
六万四千,m
组织者,n
协调,v
工人,n
调用,v
辊,n
颈,n
失败,v
北京钢院,ni
钢研院,ni
一机部机电研究所,ni
教授,n
反复,d
天津铁路分局,ni
食品卫生法,n
古冶地区食堂,ni
同志们,n
好评,n
唐山南堡盐化厂,ni
南堡盐场,ni
苦卤,n
综合利用,v
承德市,ns
遗传,v
疾病,n
学术,n
中华医学会承德市分会,ni
中下旬,nt
邀请,v
承德医学院,ni
十几,m
擅长,v
优生,v
遗传病,n
副教授,n
副主任医师,n
讲师,n
主治医师,n
讲授,v
医学,n
遗传学,n
诊断,v
妇科,n
儿科,n
临床,v
免疫,v
肿瘤,n
辐射,v
矫形,v
外科,n
优生学,n
鞭策,v
勉励,v
分明,d
咱们,r
招牌,n
出去,v
抹黑,v
齐奥塞斯库,nh
罗马尼亚,ns
共产党,n
名义,n
胡耀邦,nh
罗中,j
与日俱增,i
罗,j
执委会,j
康·德斯克列斯库,nh
选派,v
进修,v
合同,n
结业,v
回,v
电报,n
民航,j
俟,v
亲自,d
汉城,ns
此事,n
上半年,nt
总产值,n
一百一十二亿七千八百万,m
保,v
过半,v
七点三,m
平山县,ns
只顾,v
大量,a
劳力,n
投资,v
忽视,v
水土保持,v
大地,n
植被,n
山区,n
社队,j
要饭,v
生产队,n
五十,m
通知,n
植保,j
公社,n
大队,n
病,n
虫,n
防治,v
妥善,a
报酬,n
林业局,n
播,v
封,v
荒山,n
绿化,v
保定市煤炭运输队,ni
工,n
李占山,nh
陕西省城固县拖拉机修配厂,ni
女工,n
王燕珠,nh
浑身,n
